21.05.2019 12:03:00	1: 1
21.05.2019 12:03:02	1: 2
21.05.2019 12:05:06	1: 3
21.05.2019 12:07:33	1: 4
27.05.2019 15:27:58	1: 1
27.05.2019 15:28:01	1: 1
27.05.2019 15:28:01	1: 1
27.05.2019 15:28:02	1: 1
27.05.2019 15:28:02	1: 1
27.05.2019 15:28:03	1: 1
27.05.2019 15:28:04	1: 1
27.05.2019 15:28:04	1: 1
27.05.2019 15:28:06	1: 1
27.05.2019 15:28:27	1: 1гешуцугнкедшгкплфцыпафюылорюылорпюыорпюЫОрюЫОр.Фораюылораюылораюыораыюраыраылора
27.05.2019 15:30:49	1: 12345678901234567890123456789012345678901234567890123456789012345678901234567890
